id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng,province
639,POZN,5100081,Poznan Gl.,Poznan Gl.,Poznan Gl.,poznan-gl,PL,stoptreinstation,52.40199,16.91087,
735,PRAHA,5457076,Praha hl.n,Praha hl.n.,Praha hl.n.,praha-hln,CZ,intercitystation,50.08306,14435.0,
736,PRAHOL,5457256,Praha-Hol.,Praha-Holesovice,Praha-Holesovice,praha-holesovice,CZ,intercitystation,50.1102,14.44,
640,EPRN,8010100,Preussen,Preussen,Preussen,preussen,D,stoptreinstation,51.58833,7.53933,
388,PMR,8400508,Purmerend,Purmerend,Purmerend,purmerend,NL,knooppuntStoptreinstation,52.5030555725,4.95361089706,Noord-Holland
387,PMO,8400506,Overwhere,Overwhere,Purmerend Overwhere,purmerend-overwhere,NL,stoptreinstation,52.511390686,4.96833324432,Noord-Holland
389,PMW,8400499,Weidevenne,Weidevenne,Purmerend Weidevenne,purmerend-weidevenne,NL,stoptreinstation,52.4965906325,4.93562936783,Noord-Holland
391,PT,8400509,Putten,Putten,Putten,putten,NL,stoptreinstation,52.2649993896,5.57527780533,Gelderland
714,FRP,8822715,Puurs,Puurs,Puurs,puurs,B,stoptreinstation,51.07716,4.28273,
394,RAT,8400513,Raalte,Raalte,Raalte,raalte,NL,stoptreinstation,52.3916664124,6.27750015259,Overijssel
772,LRW,8024069,Rathenow,Rathenow,Rathenow,rathenow,D,intercitystation,52.599444,12.354721,
416,RVS,8400515,Ravenstein,Ravenstein,Ravenstein,ravenstein,NL,stoptreinstation,51.7941665649,5.6358332634,Noord-Brabant
415,RV,8400518,Reuver,Reuver,Reuver,reuver,NL,stoptreinstation,51.2832191665,6.07895851135,Limburg
397,RH,8400519,Rheden,Rheden,Rheden,rheden,NL,stoptreinstation,52.0099983215,6.0305557251,Gelderland
398,RHEINE,8021067,Rheine,Rheine,Rheine,rheine,D,knooppuntIntercitystation,52.276299,7.434255,
399,RHN,8400517,Rhenen,Rhenen,Rhenen,rhenen,NL,knooppuntStoptreinstation,51.9586105347,5.57833337784,Utrecht
406,RSN,8400538,Rijssen,Rijssen,Rijssen,rijssen,NL,stoptreinstation,52.3122215271,6.52027797699,Overijssel
407,RSW,8400505,Rijswijk,Rijswijk,Rijswijk,rijswijk,NL,stoptreinstation,52.0397224426,4.31916666031,Zuid-Holland
395,RB,8400521,Rilland-Ba,Rilland-Bath,Rilland-Bath,rilland-bath,NL,stoptreinstation,51.4227790833,4.16111087799,Zeeland
402,RM,8400523,Roermond,Roermond,Roermond,roermond,NL,knooppuntIntercitystation,51.1930541992,5.99416685104,Limburg
396,RD,8400525,Roodeschl,Roodeschool,Roodeschool,roodeschool,NL,stoptreinstation,53.4192128,6.7606167,Groningen
405,RSD,8400526,Roosendaal,Roosendaal,Roosendaal,roosendaal,NL,knooppuntIntercitystation,51.5402793884,4.45833349228,Noord-Brabant
